Abbreviation,Name,Formula (neutral),Formula (Charged),Charge,Compartment,KEGG ID,PubChemID,CheBI ID,Inchi String,Smiles
cpd00080[c],Glycerol-3-phosphate,,C3H8O6P,-1,,C00623|C00093,,,,
cpd15239[c],Hexadecenoyl-ACP,,C27H49N2O8PRS,-1,,,,,,
cpd15268[c],Octadecanoyl-ACP,,C29H55N2O8PRS,-1,,,,,,
cpd15277[c],Palmitoyl-ACP,,C27H51N2O8PRS,-1,,,,,,
cpd15572[c],trans-octadec-2-enoyl-[acyl-carrier protein],,C29H53N2O8PRS,-1,,,,,,
cpd11422[c],"1,2-diacyl-sn-glycerol 3-phosphate",,C5H6O8PR2,-1,,C00416,,,,
cpd11493[c],ACP,,C11H21N2O7PRS,-1,,C00229,,,,
cpd00001[c],H2O,,H2O,0,,C00001|C01328,,,,
cpd00007[c],O2,,O2,0,,C00007,,,,
cpd00726[c],"1,3-Propanediamine",,C3H12N2,2,,C00986,,,,
cpd00013[c],NH3,,H4N,1,,C01342|C00014,,,,
cpd00025[c],H2O2,,H2O2,0,,C00027,,,,
cpd01504[c],3-Aminopropanal,,C3H8NO,1,,C05665,,,,
cpd00004[c],NADH,,C21H27N7O14P2,-2,,C00004,,,,
cpd00067[c],H+,,H,1,,C00080,,,,
cpd17083[c],phenazine-1-carboxylic acid,,C13H8N2O2,0,,,,,,
cpd00003[c],NAD,,C21H26N7O14P2,-1,,C00003,,,,
cpd00011[c],CO2,,CO2,0,,C00011,,,,
cpd17044[c],1-hydroxyphenazine,,C12H8ON2,0,,,,,,
cpd11311[c],1-Pyrroline,,C4H8N,1,,C15668,,,,
cpd00281[c],GABA,,C4H9NO2,0,,C00334,,,,
cpd00023[c],L-Glutamate,,C5H8NO4,-1,,C00025|C00302,,,,
cpd00346[c],L-Aspartate4-semialdehyde,,C4H7NO3,0,,C00441,,,,
cpd00024[c],2-Oxoglutarate,,C5H4O5,-2,,C00026,,,,
cpd02095[c],"L-2,4-Diaminobutyrate",,C4H11N2O2,1,,C03283,,,,
cpd17076[c],delta-aminovalerate,,C5H13NO2,0,,,,,,
cpd02089[c],5-Oxopentanoate,,C5H7O3,-1,,C03273,,,,
cpd00020[c],Pyruvate,,C3H3O3,-1,,C00022,,,,
cpd02233[c],Ciliatine,,C2H7NO3P,-1,,C03557,,,,
cpd00035[c],L-Alanine,,C3H7NO2,0,,C00041,,,,
cpd02024[c],Phosphonoacetaldehyde,,C2H3O4P,-2,,C03167,,,,
cpd01795[c],2-Deoxy-D-gluconate,,C6H11O6,-1,,C02782,,,,
cpd02441[c],3-Dehydro-2-deoxy-D-gluconate,,C6H9O6,-1,,C03926,,,,
cpd00006[c],NADP,,C21H26N7O17P3,-2,,C00006,,,,
cpd00222[e],GLCN,,C6H11O7,-1,,C00257,,,,
cpd00005[c],NADPH,,C21H27N7O17P3,-3,,C00005,,,,
cpd00480[e],2-Dehydro-D-gluconate,,C6H9O7,-1,,,,,,
cpd00480[c],2-Dehydro-D-gluconate,,C6H9O7,-1,,,,,,
cpd11468[c],Dodecanoyl-ACP,,C23H43N2O8PRS,-1,,C05223,,,,
cpd17046[c],2-hydroxydodecanoyl-[acyl-carrier protein],,C12H23O2X,0,,,,,,
cpd11466[c],Myristoyl-ACP,,C25H47N2O8PRS,-1,,C05761,,,,
cpd17047[c],S-2-hydroxymyristoyl-[acyl-carrier protein],,C14H27O2X,0,,,,,,
cpd00449[c],Dihydrolipoamide,,C8H17NOS2,0,,C00579|C15973,,,,
cpd00760[c],2-Methylbutyryl-CoA,,C26H41N7O17P3S,-3,,C01033|C15980,,,,
cpd00010[c],CoA,,C21H33N7O16P3S,-3,,C00010,,,,
cpd03045[c],S-(2-Methylbutanoyl)-dihydrolipoamide,,C13H25NO2S2,0,,C05118,,,,
cpd01433[c],2-Nitropropane,,C3H7NO2,0,,C02116,,,,
cpd00075[c],Nitrite,,NO2,-1,,C00088,,,,
cpd00178[c],Acetone,,C3H6O,0,,C00207,,,,
cpd00002[c],ATP,,C10H13N5O13P3,-3,,C00002,,,,
cpd00281[e],GABA,,C4H9NO2,0,,C00334,,,,
cpd00008[c],ADP,,C10H13N5O10P2,-2,,C00008,,,,
cpd00009[c],Phosphate,,HO4P,-2,,C00009,,,,
cpd17049[c],3-aminopropanaldehyde,,C3H7ON,0,,,,,,
cpd00085[c],beta-Alanine,,C3H7NO2,0,,C00099,,,,
cpd00017[c],S-Adenosyl-L-methionine,,C15H23N6O5S,1,,C00019,,,,
cpd00019[c],S-Adenosyl-homocysteine,,C14H20N6O5S,0,,C00021,,,,
cpd01351[c],Ubiquinone-9,,C54H82O4,0,,C01967,,,,
cpd17045[c],beta-hydroxydecanoyl-beta-hydroxydecanoyl-S-CoA,,C41H68O20N7P3S,0,,,,,,
cpd17050[c],3-hydroxydecanoyl-3-hydroxydecanoate,,C20H38O5,0,,,,,,
cpd00797[c],(R)-3-Hydroxybutanoate,,C4H7O3,-1,,C01089,,,,
cpd00142[c],Acetoacetate,,C4H5O3,-1,,C00164,,,,
cpd01882[c],Isovaleryl-CoA,,C26H41N7O17P3S,-3,,C02939,,,,
cpd03046[c],S-(3-Methylbutanoyl)-dihydrolipoamide,,C13H25NO2S2,0,,C05119,,,,
cpd17082[c],N-(3-oxo-dodecanoyl)-L-homoserine lactone,,C16H27NO4,0,,,,,,
cpd01581[c],3-Oxododecanoate,,C12H21O3,-1,,C02367,,,,
cpd16660[c],homoserine lactone,,,NaN,,,,,,
cpd00022[c],Acetyl-CoA,,C23H35N7O17P3S,-3,,C00024,,,,
cpd00078[c],Succinyl-CoA,,C25H36N7O19P3S,-4,,C00091,,,,
cpd01507[c],3-Oxoadipyl-CoA,,C27H38N7O20P3S,-4,,C02232,,,,
cpd00434[c],4-Aminobutanal,,C4H10NO,1,,C00555,,,,
cpd03897[c],4a-Hydroxytetrahydrobiopterin,,C9H15N5O4,0,,C15522,,,,
cpd00231[c],Dihydrobiopterin,,C9H13N5O3,0,,C00268,,,,
cpd00067[e],H+,,H,1,,C00080,,,,
cpd00136[e],4-Hydroxybenzoate,,C7H5O3,-1,,C00156,,,,
cpd00136[c],4-Hydroxybenzoate,,C7H5O3,-1,,C00156,,,,
cpd00489[c],4-Hydroxyphenylacetate,,C8H7O3,-1,,C13636|C00642,,,,
cpd00854[c],Homoprotocatechuate,,C8H7O4,-1,,C01161,,,,
cpd03607[c],4-(Phosphonooxy)-threonine,,C4H9NO7P,-1,,C06055,,,,
cpd03608[c],4-Hydroxy-L-threonine,,C4H9NO4,0,,C06056,,,,
cpd02828[c],5-Carboxymethyl-2-hydroxymuconic semialdehyde,,C8H6O6,-2,,C04642,,,,
cpd02572[c],5-Carboxymethyl-2-hydroxymuconate,,C8H5O7,-3,,C04186,,,,
cpd17053[c],5-methylphenazine-1-carboxylic acid betaine,,C14H11N2O2,0,,,,,,
cpd00147[c],5-Methylthioadenosine,,C11H15N5O3S,0,,C00170,,,,
cpd00147[e],5-Methylthioadenosine,,C11H15N5O3S,0,,C00170,,,,
cpd00817[c],D-Arabinose5-phosphate,,C5H10O8P,-1,,C01112,,,,
cpd00171[c],D-Ribulose5-phosphate,,C5H10O8P,-1,,C00199,,,,
cpd00199[c],4-Oxobutanoate,,C4H5O3,-1,,C00232,,,,
cpd03294[e],Aerobactin,,C22H33N4O13,-3,,C05554,,,,
cpd03294[c],Aerobactin,,C22H33N4O13,-3,,C05554,,,,
cpd00012[c],PPi,,H2O7P2,-2,,C00013,,,,
cpd00018[c],AMP,,C10H13N5O7P,-1,,C00020,,,,
cpd00279[c],Acetoacetyl-CoA,,C25H37N7O18P3S,-3,,C00332,,,,
cpd00086[c],Propionyl-CoA,,C24H37N7O17P3S,-3,,C00100,,,,
cpd02124[c],2-Methylacetoacetyl-CoA,,C26H39N7O18P3S,-3,,C03344,,,,
cpd00242[c],H2CO3,,CHO3,-1,,C01353|C00288,,,,
cpd00070[c],Malonyl-CoA,,C24H34N7O19P3S,-4,,C00083,,,,
cpd00477[c],N-Acetyl-L-glutamate,,C7H9NO5,-2,,C00624,,,,
cpd02552[c],n-acetylglutamyl-phosphate,,C7H10NO8P,-2,,C04133,,,,
cpd00094[c],2-Oxobutyrate,,C4H5O3,-1,,C00109,,,,
cpd00498[c],2-Aceto-2-hydroxybutanoate,,C6H9O4,-1,,C00659|C06006,,,,
cpd00029[c],Acetate,,C2H3O2,-1,,C00033,,,,
cpd00196[c],Acetylphosphate,,C2H4O5P,-1,,C00227,,,,
cpd00668[c],ALCTT,,C5H7O4,-1,,C06010|C00900,,,,
cpd11492[c],Malonyl-acyl-carrierprotein-,,C14H22N2O10PRS,-2,,C01209,,,,
cpd11494[c],Acetyl-ACP,,C13H23N2O8PRS,-1,,C03939,,,,
cpd11488[c],Acetoacetyl-ACP,,C15H25N2O9PRS,-1,,C05744,,,,
cpd00650[c],Crotonyl-CoA,,C25H37N7O17P3S,-3,,C00877,,,,
cpd00120[c],Butyryl-CoA,,C25H39N7O17P3S,-3,,C00136,,,,
cpd00982[c],FADH2,,C27H33N9O15P2,-2,,C01352,,,,
cpd02125[c],Tiglyl-CoA,,C26H39N7O17P3S,-3,,C03345,,,,
cpd00015[c],FAD,,C27H31N9O15P2,-2,,C00016,,,,
cpd01966[c],Dimethylacryloyl-CoA,,C26H39N7O17P3S,-3,,C03069,,,,
cpd00342[c],N-Acetylornithine,,C7H14N2O3,0,,C00437,,,,
cpd00064[c],Ornithine,,C5H13N2O2,1,,C00077|C01602,,,,
cpd00137[c],Citrate,,C6H5O7,-3,,C00158,,,,
cpd00260[c],Isocitrate,,C6H5O7,-3,,C00311,,,,
cpd00918[c],2-Acetamido-5-oxopentanoate,,C7H10NO4,-1,,C01250,,,,
cpd12370[c],apo-ACP,,HOR,0,,C03688,,,,
cpd00045[c],Adenosine 3-5-bisphosphate,,C10H13N5O10P2,-2,,C00054,,,,
cpd00029[e],Acetate,,C2H3O2,-1,,C00033,,,,
cpd00182[c],Adenosine,,C10H13N5O4,0,,C00212,,,,
cpd00246[c],Inosine,,C10H12N4O5,0,,C00294,,,,
