	H+	H2O	Phosphate	Acetate	D-Ribulose5-phosphate	Dodecanoyl-ACP	(R)-3-Hydroxydecanoyl-[acyl-carrier protein]	D-3-Hydroxydodecanoyl-[acp]	ATP	ADP	UDP-N-acetyl fucosamine	UDP-glucose	NH3	PPi	dTDP-rhamnose	GDP-D-rhamnose	ACP	CTP	2-hydroxydodecanoyl-[acyl-carrier protein]	Pseudomonas aeruginosa Lipid A precursor	Pseudomonas aeruginosa Lipid A	L-Alanine	UDP	Phosphoenolpyruvate	CMP	UDP-galactose	Man(2NAc3N)(3,-CH3C=NH)A-(beta1,4)-Man(2NAc3NAc)A-(beta1,3)-Fuc2NAc-PP-Undecaprenyl	Pseudomonas aeruginosa LPS core + KDO2-lipidA	Bactoprenyl diphosphate	Pseudomonas aeruginosa B-band lipopolysaccharide	UDP-N-acetyl-D-mannosamine (2NAc3N) acid	UDP-N-acetyl-D-manosamine (2NAc3NAc) acid	Carbamoylphosphate	UMP	PA_core6_lipidA	PA_core7_lipidA	Undecaprenylphosphate	D-Glycero-D-manno-heptose1-7-bisphosphate	D-Glycero-D-manno-heptose1-phosphate	Sedoheptulose7-phosphate	dTDP	UDP-2-NH-(3OH-C12:0),3-O-(3OH-C10:0)glucosamine	Pseudomonas aeruginosa Lipid X	UTP	Glucose-1-phosphate	KDO	CMP-KDO	Pseudomonas Lipid A Disaccharide	UDP-N-acetylglucosamine	Fuc2NAc-PP-Undecaprenyl	Undecaprenyl diphospho N-acetyl-glucosamine	UDP-N-acetyl-D-mannosamine (2NAc(CH3C=NH)) acid	Man(2NAc3NAc)A-(beta1,3)-Fuc2NAc-PP-Undecaprenyl	UDP-N-acetyl-D-mannosamine	UDP-N-acetyl-D-mannosamine-3-N	ADP-D-glycero-D-manno-heptose	ADP-L-glycero-D-manno-heptose	GMP	D-Arabinose5-phosphate	3-Deoxy-D-manno-octulosonate8-phosphate	UDP-3-O-(3OH-C10:0)-N-acetylglucosamine	UDP-3-O-(3OH-C10:0)-D-glucosamine	D-Glycero-D-manno-heptose7-phosphate	Pseudomonas aeruginosa KDO-lipidA	Pseudomonas aeruginosa KDO2-lipidA	PA_core3_lipidA	PA_core4_lipidA	PA_core2_lipidA	PA_core5_lipidA	PA_core1_lipidA	rha1glcnacppund	rha3glcnacppund	rha4glcnacppund	Pseudomonas aeruginosa A-band lipopolysaccharide
0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	0.0	-1.0	-1.0	-1.0	0.0	0.0	-0.25	0.75	-0.5	0.0	0.0	1.0	0.0	-1.0	0.0	0.0	-0.25	-1.0	0.0	-0.5	0.0	-0.5	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.5	0.0	-0.5	-0.5	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	0.0	1.0	1.0	1.0	0.0	0.0	-0.25	-0.25	-0.5	0.0	0.0	1.0	0.0	-1.0	0.0	0.0	-0.25	-1.0	0.0	-0.5	0.0	3.5	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.5	0.0	-0.5	-0.5	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.25	0.5	0.0	0.0	-0.0	0.0	1.0	0.0	0.0	0.25	1.0	0.0	0.5	0.0	-1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	1.5	0.0	0.5	0.5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.25	0.5	0.0	0.0	-0.0	0.0	1.0	0.0	0.0	0.25	1.0	0.0	0.5	0.0	-1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	1.5	0.0	0.5	0.5	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9	0.0	0.0	-1.0	0.0	0.0	0.0	-0.25	-0.25	-0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.25	-1.0	0.0	-0.5	0.0	0.5	-0.0	-1.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.5	0.0	-0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
